nro,Jerga,tipo,descripción corta,Descripción,fuente
479,cirear,Jerga,piropear,"Piropear, silbar, enamorar a la chicas",https://jergozo.com/diccionario-peruano
480,cirio,Jerga,galante,"Galante, enamorador",https://jergozo.com/diccionario-peruano
481,cirroso,Jerga,alcoholico,Se dice de la persona que bebe en exceso (siempre ay motivo),https://jergozo.com/diccionario-peruano
482,ciudad blanca,Jerga,Arequipa,Arequipa,https://jergozo.com/diccionario-peruano
483,clarito,Jerga,bebida,Bebida de maíz fermentada,https://jergozo.com/diccionario-peruano
484,clavar,Jerga,tener sexo,Tener relaciones sexuales,https://jergozo.com/diccionario-peruano
485,clavarse,Jerga,colarse,Colarse.,https://jergozo.com/diccionario-peruano
486,cleta,Jerga,Bicicleta,Bicicleta,https://jergozo.com/diccionario-peruano
487,cloro,Jerga,droga,Cocaina.,https://jergozo.com/diccionario-peruano
488,Conchasumare,Jerga,hijo de puta,"Conchasumare, Se usa para expresar prácticamente cualquier estado de ánimo muy intenso, como rabia, disgusto, sorpresa, dolor, felicidad, placer, aburrimiento, risa, etc.",https://jergozo.com/diccionario-peruano
489,csm,Jerga,hijo de puta,"Conchasumare, Se usa para expresar prácticamente cualquier estado de ánimo muy intenso, como rabia, disgusto, sorpresa, dolor, felicidad, placer, aburrimiento, risa, etc.",https://jergozo.com/diccionario-peruano
490,coca sour,Jerga,bedida alcoholica,"Macerado de coca y pisco, al modo sour. O sea, un pisco sour con gusto a coca y ese color a té verde tan característico.",https://jergozo.com/diccionario-peruano
491,cocacho,Jerga,golpe en la cabeza,"Capón, golpe dado con los nudillos en la cabeza.",https://jergozo.com/diccionario-peruano
492,cocacola,Jerga,loco,Loco,https://jergozo.com/diccionario-peruano
493,cocada,Jerga,dulce,Especie de turrón.,https://jergozo.com/diccionario-peruano
494,cocalero,Jerga,agricultor de coca,Agricultor dedicado al cultivo de la coca,https://jergozo.com/diccionario-peruano
495,cocha,Jerga,vieja,mujer anciana,https://jergozo.com/diccionario-peruano
496,cocharca,Jerga,viejo,"Viejo , anciano, antiguo",https://jergozo.com/diccionario-peruano
497,cochayuyo,Jerga,alga,En el Perú llaman a otra alga con este mismo nombre aunque en realidad se trate de la Porphyra columbina.,https://jergozo.com/diccionario-peruano
498,cochi su mare,expresión,hijo de puta,Insulto hacia una persona,https://jergozo.com/diccionario-peruano
499,cochino,Jerga,sucio,Sucio.,https://jergozo.com/diccionario-peruano
500,coco,Jerga,cabeza,"Cabeza, cráneo, cerebro.",https://jergozo.com/diccionario-peruano
501,cocodrileo,Jerga,robar,Acción y efecto de colgarse de una línea telefónica. Dicho deporte es bastante practicado en el Perú y consiste en usar pinzas cocodrilo para conectar el teléfono casero de manera ilícita y rentable.,https://jergozo.com/diccionario-peruano
502,cofla,Jerga,delgado,"Flaco , delgado, enjuto",https://jergozo.com/diccionario-peruano
503,coimas,Jerga,sobornos,"Sobornos, coimeta, cometa, macoteo, matracas, picoteo, mordidas, amantes, segundos frentes, diegos y macuteo",https://jergozo.com/diccionario-peruano
504,coimear,Jerga,dar soborno,Recibir o dar coima.,https://jergozo.com/diccionario-peruano
505,coimero,Jerga,que da soborno,El que da coimas o las recibe.,https://jergozo.com/diccionario-peruano
506,cojer,Jerga,tener sexo,Tener sexo,https://jergozo.com/diccionario-peruano
507,cojinova,Jerga,tonto,Tonto.,https://jergozo.com/diccionario-peruano
508,cojón,Jerga,testículos,"Bolas, gónadas, testículos, kiwis, cocos.",https://jergozo.com/diccionario-peruano
509,cojones,Jerga,testículos,"Bolas, gónadas, testículos, kiwis, cocos.",https://jergozo.com/diccionario-peruano
510,cojudez,Jerga,de poca impotancia,Cualidad de cojudo. en perú se dice de algo que posee poca importancia,https://jergozo.com/diccionario-peruano
511,cola,Jerga,trasero,Trasero de una persona,https://jergozo.com/diccionario-peruano
512,colada,Jerga,mazamorra,"Mazamorra de harina y agua o leche, con sal o azúcar.",https://jergozo.com/diccionario-peruano
513,cole,Jerga,colegio,Nombre que se le da al secundiario o colegio.,https://jergozo.com/diccionario-peruano
514,colectivero,Jerga,chofer,Conductor de un colectivo.,https://jergozo.com/diccionario-peruano
515,colectivo,Jerga,automovil,Autobús pequeño.,https://jergozo.com/diccionario-peruano
516,colepato,Jerga,bus,"1) automóvil de transporte público con ruta establecida, colectivo",https://jergozo.com/diccionario-peruano
517,colera,Jerga,ira,Cuanto tas enojado,https://jergozo.com/diccionario-peruano
518,colerón,Jerga,furia,Furia; enojo.,https://jergozo.com/diccionario-peruano
519,colet,Jerga,sujetador de cabello,"Liga para sujetarse el cabello. Viene del latín ""collum"".",https://jergozo.com/diccionario-peruano
520,colgao,Jerga,aburrido,Aburrido,https://jergozo.com/diccionario-peruano
521,colita,Jerga,nalgas,"Trasero, nalgas",https://jergozo.com/diccionario-peruano
522,collera,Jerga,grupo de amigos,Grupo de amigos,https://jergozo.com/diccionario-peruano
523,colocho,Jerga,colombiano,"Así nos llaman los peruanos coloquialmente a los colombianos, bien sea en forma fraternal o peyorativa.",https://jergozo.com/diccionario-peruano
524,colonia penal,Jerga,carcel,"Penal, penitenciaría.",https://jergozo.com/diccionario-peruano
525,colorado,Jerga,persona blanca,"Persona blanca, de tez clara, sobre todo de rasgos europeos",https://jergozo.com/diccionario-peruano
526,colorín,Jerga,pelirojo,Peliorojo.,https://jergozo.com/diccionario-peruano
527,colorina,Jerga,peliroja,peliroja,https://jergozo.com/diccionario-peruano
528,comanche,Jerga,Comadante,Comadante,https://jergozo.com/diccionario-peruano
529,comba,Jerga,martillo,"Martillo grueso. Pija, pene.",https://jergozo.com/diccionario-peruano
530,combazo,Jerga,golpe fuerte,"Combo, puñetazo.",https://jergozo.com/diccionario-peruano
531,comebola,Jerga,conmebol,Nombre peyorativo que se da a la Confederación Sudamericana de Futbol CONMEBOL,https://jergozo.com/diccionario-peruano
532,comegato,Jerga,come gatos,Que come gatos,https://jergozo.com/diccionario-peruano
533,comehechado,Jerga,flojo,Flojo. Voz muy gráfica.,https://jergozo.com/diccionario-peruano
534,comentador,Jerga,Comentarista.,Comentarista.,https://jergozo.com/diccionario-peruano
535,comercial,Jerga,anuncio publicitario,Anuncio publicitario de televisión o radio,https://jergozo.com/diccionario-peruano
536,cómica,Jerga,Comisaría,Comisaría,https://jergozo.com/diccionario-peruano
537,comilona,Jerga,comer entre amigo,Un almuerzo o una cena con los amigos.,https://jergozo.com/diccionario-peruano
538,como la mona,expresión,en mal estado,De mal resultado; en mal estado.,https://jergozo.com/diccionario-peruano
539,compare,Jerga,Compadre,Compadre,https://jergozo.com/diccionario-peruano
540,componer,Jerga,Restituir a su lugar los huesos dislocados.,Restituir a su lugar los huesos dislocados.,https://jergozo.com/diccionario-peruano
541,comprimido,Jerga,Chuleta o machete para copiar en un examen.,Chuleta o machete para copiar en un examen.,https://jergozo.com/diccionario-peruano
542,compro catre fierro botella,expresión,chatarrero,"Reciclador , chatarrero",https://jergozo.com/diccionario-peruano
543,compu,Jerga,Computadora,Computadora,https://jergozo.com/diccionario-peruano
544,con pana,Jerga,descarado,"Con el mayor descaro , sin ningún reparo, sin ninguna verguenza",https://jergozo.com/diccionario-peruano
545,con pana y elegancia,expresión,atrevimiento,Con atrevimiento y a la vez ser elegante,https://jergozo.com/diccionario-peruano
546,con un pie en la tumba,expresión,Moribundo,Moribundo,https://jergozo.com/diccionario-peruano
547,conacho,Jerga,mortero de piedra,Mortero de piedra para triturar los minerales de oro o plata.,https://jergozo.com/diccionario-peruano
548,concha,Jerga,vagina,"Aparato reproductor femenino. También se usa para denominar a un persona que es fresca, sinvergüenza.",https://jergozo.com/diccionario-peruano
549,conchatumadre,Jerga,hijo de puta,Es Una Manera De Insultar A Una Persona Bruscamente.,https://jergozo.com/diccionario-peruano
550,conchatumare,Jerga,hijo de puta,Es Una Manera De Insultar A Una Persona Bruscamente.,https://jergozo.com/diccionario-peruano
